No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;time2;time 1;delay1;delay2;jiter
47;12.968.138;192.168.100.35;172.217.194.94;TCP;55;[TCP Keep-Alive] 56145  >  80 [ACK] Seq=1 Ack=1 Win=64952 Len=1;;;;;;;;;;;;;;;;
48;12.971.225;172.217.194.94;192.168.100.35;TCP;54;[TCP Keep-Alive ACK] 80  >  56145 [ACK] Seq=1 Ack=2 Win=4633 Len=0;;;;;;;;;;;;;;;;
49;13.074.609;44.228.114.75;192.168.100.35;TCP;54;443  >  65085 [ACK] Seq=1 Ack=1 Win=118 Len=0;;;;;;;;;;;;;;;;
50;13.074.676;192.168.100.35;44.228.114.75;TCP;54;[TCP ACKed unseen segment] 65085  >  443 [ACK] Seq=1 Ack=2 Win=512 Len=0;;;;;;;;;;;;;;;;
51;16.828.257;192.168.100.35;52.139.250.253;TLSv1.2;98;[TCP ACKed unseen segment] , Application Data;;;;;;;;;;;;;;;;
52;16.878.773;52.139.250.253;192.168.100.35;TLSv1.2;229;[TCP Previous segment not captured] , Application Data;;;;;;;;;;;;;;;;
53;16.927.838;192.168.100.35;52.139.250.253;TCP;54;[TCP ACKed unseen segment] 49724  >  443 [ACK] Seq=45 Ack=177 Win=510 Len=0;;;;;;;;;;;;;;;;
54;22.678.785;192.168.100.35;74.125.24.136;TLSv1.2;846;Application Data;;;;;;;;;;;;;;;;
55;22.712.751;74.125.24.136;192.168.100.35;TCP;54;443  >  56126 [ACK] Seq=655 Ack=2827 Win=419 Len=0;;;;;;;;;;;;;;;;
56;22.717.865;74.125.24.136;192.168.100.35;TLSv1.2;121;Application Data;;;;;;;;;;;;;;;;
57;22.717.865;74.125.24.136;192.168.100.35;TLSv1.2;85;Application Data;;;;;;;;;;;;;;;;
58;22.717.961;192.168.100.35;74.125.24.136;TCP;54;56126  >  443 [ACK] Seq=2827 Ack=753 Win=512 Len=0;;;;;;;;;;;;;;;;
59;22.728.840;74.125.24.136;192.168.100.35;TLSv1.2;93;Application Data;;;;;;;;;;;;;;;;
60;22.729.113;192.168.100.35;74.125.24.136;TLSv1.2;93;Application Data;;;;;;;;;;;;;;;;
61;22.767.057;74.125.24.136;192.168.100.35;TCP;60;443  >  56126 [ACK] Seq=792 Ack=2866 Win=419 Len=0;;;;;;;;;;;;;;;;
62;22.833.970;52.139.250.253;192.168.100.35;TCP;66;443  >  49693 [ACK] Seq=1 Ack=1 Win=7757 Len=0 TSval=4153831727 TSecr=897989;;;;;;;;;;;;;;;;
63;22.834.004;192.168.100.35;52.139.250.253;TCP;54;[TCP ACKed unseen segment] 49693  >  443 [ACK] Seq=1 Ack=2 Win=512 Len=0;;;;;;;;;;;;;;;;
64;22.988.166;192.168.100.35;172.217.194.94;TCP;55;[TCP Keep-Alive] 56145  >  80 [ACK] Seq=1 Ack=1 Win=64952 Len=1;;;;;;;;;;;;;;;;
65;22.990.908;172.217.194.94;192.168.100.35;TCP;60;[TCP Keep-Alive ACK] 80  >  56145 [ACK] Seq=1 Ack=2 Win=4633 Len=0;;;;;;;;;;;;;;;;
82;31.677.549;192.168.100.35;192.229.232.240;TCP;66;56146  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;;
83;31.681.068;192.229.232.240;192.168.100.35;TCP;62;80  >  56146 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1;;;;;;;;;;;;;;;;
84;31.681.174;192.168.100.35;192.229.232.240;TCP;54;56146  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0;;;;;;;;;;;;;;;;
85;31.681.404;192.168.100.35;192.229.232.240;HTTP;479;GET /filestreamingservice/files/0f3db454-690c-4d14-85cc-8c7c529c1594?P1=1601354519&P2=402&P3=2&P4=j5r5QZSkybK%2b9FjraRnSD5yi0zQK17fRNqMj72B0dVeAAtSpHCJmXxeXAMvPy97I3Wd6oE9q0knd5cspgQRhPA%3d%3d HTTP/1.1 ;;;;;;;;;;;;;;;;
86;31.684.957;192.229.232.240;192.168.100.35;TCP;54;80  >  56146 [ACK] Seq=1 Ack=426 Win=4661 Len=0;;;;;;;;;;;;;;;;
87;31.708.599;192.168.100.35;74.125.130.95;TLSv1.2;93;[TCP ACKed unseen segment] , Application Data;;;;;;;;;;;;;;;;
88;31.741.436;74.125.130.95;192.168.100.35;TCP;54;[TCP Previous segment not captured] 443  >  56144 [ACK] Seq=2 Ack=40 Win=269 Len=0;;;;;;;;;;;;;;;;
89;31.758.511;74.125.130.95;192.168.100.35;TLSv1.2;93;Application Data;;;;;;;;;;;;;;;;
90;31.807.968;192.168.100.35;74.125.130.95;TCP;54;[TCP ACKed unseen segment] 56144  >  443 [ACK] Seq=40 Ack=41 Win=507 Len=0;;;;;;;;;;;;;;;;
91;33.008.150;192.168.100.35;172.217.194.94;TCP;55;[TCP Keep-Alive] 56145  >  80 [ACK] Seq=1 Ack=1 Win=64952 Len=1;;;;;;;;;;;;;;;;
92;33.010.967;172.217.194.94;192.168.100.35;TCP;54;[TCP Keep-Alive ACK] 80  >  56145 [ACK] Seq=1 Ack=2 Win=4633 Len=0;;;;;;;;;;;;;;;;
93;34.448.310;20.44.232.74;192.168.100.35;TCP;66;[TCP Keep-Alive] 443  >  56135 [ACK] Seq=4745 Ack=5591 Win=2047 Len=0 TSval=861978692 TSecr=51254223;;;;;;;;;;;;;;;;
94;34.448.395;192.168.100.35;20.44.232.74;TCP;54;[TCP Keep-Alive ACK] 56135  >  443 [ACK] Seq=5591 Ack=4746 Win=512 Len=0;;;;;;;;;;;;;;;;
95;35.240.593;192.168.100.35;74.125.24.136;TLSv1.2;775;Application Data;;;;;;;;;;;;;;;;
96;35.240.714;192.168.100.35;74.125.24.136;TLSv1.2;85;Application Data;;;;;;;;;;;;;;;;
97;35.274.215;74.125.24.136;192.168.100.35;TCP;60;443  >  56126 [ACK] Seq=792 Ack=3587 Win=430 Len=0;;;;;;;;;;;;;;;;
98;35.274.215;74.125.24.136;192.168.100.35;TCP;60;443  >  56126 [ACK] Seq=792 Ack=3618 Win=430 Len=0;;;;;;;;;;;;;;;;
99;35.279.615;74.125.24.136;192.168.100.35;TLSv1.2;123;Application Data;;;;;;;;;;;;;;;;
100;35.279.615;74.125.24.136;192.168.100.35;TLSv1.2;85;Application Data;;;;;;;;;;;;;;;;
101;35.279.721;192.168.100.35;74.125.24.136;TCP;54;56126  >  443 [ACK] Seq=3618 Ack=892 Win=511 Len=0;;;;;;;;;;;;;;;;
102;35.298.926;74.125.24.136;192.168.100.35;TLSv1.2;93;Application Data;;;;;;;;;;;;;;;;
103;35.299.145;192.168.100.35;74.125.24.136;TLSv1.2;93;Application Data;;;;;;;;;;;;;;;;
104;35.337.224;74.125.24.136;192.168.100.35;TCP;60;443  >  56126 [ACK] Seq=931 Ack=3657 Win=430 Len=0;;;;;;;;;;;;;;;;
113;43.028.243;192.168.100.35;172.217.194.94;TCP;55;[TCP Keep-Alive] 56145  >  80 [ACK] Seq=1 Ack=1 Win=64952 Len=1;;;;;;;;;;;;;;;;
114;43.031.207;172.217.194.94;192.168.100.35;TCP;60;[TCP Keep-Alive ACK] 80  >  56145 [ACK] Seq=1 Ack=2 Win=4633 Len=0;;;;;;;;;;;;;;;;
115;44.074.863;44.228.114.75;192.168.100.35;TCP;66;[TCP Dup ACK 49#1] 443  >  65085 [ACK] Seq=1 Ack=1 Win=118 Len=0 TSval=486637798 TSecr=4650343;;;;;;;;;;;;;;;;
116;44.074.920;192.168.100.35;44.228.114.75;TCP;54;[TCP Dup ACK 50#1] [TCP ACKed unseen segment] 65085  >  443 [ACK] Seq=1 Ack=2 Win=512 Len=0;;;;;;;;;;;;;;;;
117;47.198.818;52.139.250.253;192.168.100.35;TCP;66;[TCP Keep-Alive] 443  >  49724 [ACK] Seq=176 Ack=45 Win=7576 Len=0 TSval=568420977 TSecr=1001380;;;;;;;;;;;;;;;;
118;47.198.893;192.168.100.35;52.139.250.253;TCP;54;[TCP Keep-Alive ACK] 49724  >  443 [ACK] Seq=45 Ack=177 Win=510 Len=0;;;;;;;;;;;;;;;;
119;47.308.419;192.168.100.35;192.229.232.240;TCP;54;56146  >  80 [RST, ACK] Seq=426 Ack=1 Win=0 Len=0;;;;;;;;;;;;;;;;
